"idClinic";"clinicName";"address";"villageCode";"phoneNumber";"longitude";"latitude";"link";"firstlyAttendedBy";"socioeconomicLevel";"sizeLevel"
123;C.S. EL BALCONCILLO;AV. DEL EJÉRCITO 20;"0719130";;0;0;;2;2;2
124;C.S. EL BERCIAL;AVDA DEL PARQUE, 12;"1228065";;0;0;;3;2;3
125;C.S. EL ESPINILLO;AVDA OROVILLA, 53;"1228079";;0;0;;2;2;2
126;C.S. EL FERIAL;FERIAL 31;"0719130";;0;0;;2;1;2
127;C.S. EL GRECO;AVDA DE LOS REYES CATÓLICOS, 37;"1228065";;0;0;;3;2;2
128;C.S. Illes Columbretes;PL. ILLES COLUMBRETES, S/N;"1712040";;0;0;;6;0;0
129;C.S. EL NARANJO;CALLE DE AVILÉS, 2;"1228058";;0;0;;3;2;2
130;C.S. EL PARDO;CALLE DEL PRIMERO DE OCTUBRE, 2;"1228079";;0;0;;4;2;3
131;C.S. EL PUERTO;CALLE OCÉANO PACÍFICO, 3;"1228049";;0;0;;2;2;3
132;C.S. EL RESTÓN;AVDA DEL MAR MEDITERRÁNEO, 1;"1228161";;0;0;;3;2;1
133;C.S. EL SOTO;AVDA OLÍMPICA, 38;"1228092";;0;0;;3;2;2
134;C.S. ELOY GONZALO;CALLE DE ELOY GONZALO, 24;"1228079";;0;0;;4;1;1
135;C.S. EMBAJADORES;CALLE DEL CARDENAL SOLÍS, 6;"1228079";;0;0;;2;2;2
136;C.S. ENSANCHE DE VALLECAS;CALLE DE CINCOVILLAS, 1;"1228079";;0;0;;2;2;1
137;C.S. ENTREVÍAS;CALLE DE LA CAMPIÑA S/N;"1228079";;0;0;;2;3;1
138;C.S. ESPRONCEDA;CALLE DE ESPRONCEDA, 24;"1228079";;0;0;;4;1;1
139;C.S. Estación;P DEL MUELLE, 70;"0745165";;0;0;;3;0;0
140;C.S. ESTRECHO DE COREA;CALLE DEL ESTRECHO DE COREA, 1;"1228079";;0;0;;2;2;1
141;C.S. FEDERICA MONTSENY;AVDA DE LA ALBUFERA, 285;"1228079";;0;0;;2;3;1
142;C.S. FELIPE II;AVDA DE FELIPE II, 10;"1228092";;0;0;;3;2;2
143;C.S. Palleter;PL. PALLETER, S/N;"1712040";;0;0;;6;0;0
144;C.S. FOIOS;AV/ AUSIAS MARCH, S/N;"1746126";;0;0;;6;2;3
145;C.S. FRANCIA;CALLE DE FRANCIA, 38;"1228058";;0;0;;3;2;1
146;C.S. FRONTERAS;CALLE PUERTO DE NAVACERRADA, 4;"1228148";;0;0;;2;3;1
147;C.S. FUENCARRAL;CALLE ISLA DE JAVA S/N;"1228079";;0;0;;4;2;2
148;C.S. Pintor Sorolla;PL. PINTOR SOROLLA, 1;"1712040";;0;0;;6;0;0
149;C.S. Rafalafena;C/ MONCÓFAR, 39;"1712040";;0;0;;6;0;0
150;C.S. FUENTELARREINA;CALLE DE ALFONSO RODRÍGUEZ CASTELAO, 17;"1228079";;0;0;;4;1;2
151;C.S. GALAPAGAR;AVDA VÍCTIMAS DEL TERRORISMO, 3;"1228061";;0;0;;4;2;2
152;C.S. GANDHI;CALLE DE GANDHI, 30;"1228079";;0;0;;4;2;1
153;C.S. GARCÍA NOBLEJAS;CALLE DE LOS HERMANOS GARCÍA NOBLEJAS, 168;"1228079";;0;0;;4;2;1
154;C.S. GENERAL FANJUL;AVDA DEL GENERAL FANJUL, 18;"1228079";;0;0;;3;2;2
